"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","ElectronCurrent (10^-10 A) Run #1"
29.150,1.400E-13,2.9,0.00
29.200,1.434E-13,2.9,0.00
29.250,1.346E-13,2.9,0.00
29.300,1.342E-13,2.9,0.00
29.350,1.232E-13,2.9,0.00
29.400,1.355E-13,2.9,0.00
29.450,1.283E-13,2.9,0.00
29.500,1.295E-13,2.9,0.00
29.550,1.140E-13,2.9,0.00
29.600,1.346E-13,2.9,0.00
29.650,1.322E-13,2.9,0.00
29.700,1.392E-13,2.9,0.00
29.750,1.489E-13,2.9,0.00
29.800,1.351E-13,2.9,0.00
29.850,1.445E-13,2.9,0.00
29.900,1.552E-13,2.9,0.00
29.950,1.437E-13,2.9,0.00
30.000,1.405E-13,3.0,0.00
30.050,1.450E-13,3.0,0.00
30.100,1.454E-13,3.0,0.00
30.150,1.545E-13,3.0,0.00
30.200,1.432E-13,3.0,0.00
30.250,1.428E-13,3.0,0.00
30.300,1.434E-13,3.0,0.00
30.350,1.432E-13,3.0,0.00
30.400,1.384E-13,3.0,0.00
30.450,1.399E-13,3.0,0.00
30.500,1.284E-13,3.0,0.00
30.550,1.211E-13,3.0,0.00
30.600,1.219E-13,3.0,0.00
30.650,1.195E-13,3.0,0.00
30.700,1.311E-13,3.0,0.00
30.750,1.302E-13,3.0,0.00
30.800,1.206E-13,3.1,0.00
30.850,1.299E-13,3.1,0.00
30.900,1.327E-13,3.1,0.00
30.950,1.237E-13,3.1,0.00
31.000,1.443E-13,3.1,0.00
31.050,1.300E-13,3.1,0.00
31.100,1.465E-13,3.1,0.00
31.150,1.444E-13,3.1,0.00
31.200,1.460E-13,3.1,0.00
31.250,1.431E-13,3.1,0.00
31.300,1.281E-13,3.1,0.00
31.350,1.169E-13,3.1,0.00
31.400,1.263E-13,3.1,0.00
31.450,1.266E-13,3.1,0.00
31.500,1.329E-13,3.1,0.00
31.550,1.310E-13,3.1,0.00
31.600,1.407E-13,3.1,0.00
31.650,1.282E-13,3.1,0.00
31.700,1.353E-13,3.1,0.00
31.750,1.429E-13,3.1,0.00
31.800,1.353E-13,3.1,0.00
31.850,1.313E-13,3.1,0.00
31.900,1.366E-13,3.1,0.00
31.950,1.403E-13,3.1,0.00
32.000,1.315E-13,3.1,0.00
32.050,1.500E-13,3.1,0.00
32.100,1.331E-13,3.1,0.00
32.150,1.248E-13,3.1,0.00
32.200,1.395E-13,3.2,0.00
32.250,1.298E-13,3.2,0.00
32.300,1.324E-13,3.2,0.00
32.350,1.199E-13,3.2,0.00
32.400,1.263E-13,3.2,0.00
32.450,1.237E-13,3.2,0.00
32.500,1.146E-13,3.2,0.00
32.550,1.259E-13,3.2,0.00
32.600,1.239E-13,3.2,0.00
32.650,1.188E-13,3.2,0.00
32.700,1.172E-13,3.3,0.00
32.750,1.251E-13,3.3,0.00
32.800,1.111E-13,3.3,0.00
32.850,1.295E-13,3.3,0.00
32.900,1.278E-13,3.3,0.00
32.950,1.327E-13,3.3,0.00
33.000,1.351E-13,3.3,0.00
33.050,1.327E-13,3.4,0.00
33.100,1.436E-13,3.4,0.00
33.150,1.388E-13,3.4,0.00
33.200,1.532E-13,3.4,0.00
33.250,1.388E-13,3.4,0.00
33.300,1.455E-13,3.4,0.00
33.350,1.548E-13,3.4,0.00
33.400,1.464E-13,3.4,0.00
33.450,1.497E-13,3.4,0.00
33.500,1.436E-13,3.4,0.00
33.550,1.434E-13,3.4,0.00
33.600,1.462E-13,3.4,0.00
33.650,1.420E-13,3.4,0.00
33.700,1.437E-13,3.4,0.00
33.750,1.437E-13,3.4,0.00
33.800,1.462E-13,3.5,0.00
33.850,1.470E-13,3.5,0.00
33.900,1.469E-13,3.5,0.00
33.950,1.478E-13,3.5,0.00
34.000,1.404E-13,3.5,0.00
34.050,1.432E-13,3.5,0.00
34.100,1.445E-13,3.5,0.00
34.150,1.422E-13,3.5,0.00
34.200,1.499E-13,3.5,0.00
34.250,1.475E-13,3.5,0.00
34.300,1.460E-13,3.5,0.00
34.350,1.466E-13,3.5,0.00
34.400,1.490E-13,3.6,0.00
34.450,1.514E-13,3.6,0.00
34.500,1.570E-13,3.6,0.00
34.550,1.542E-13,3.6,0.00
34.600,1.606E-13,3.6,0.00
34.650,1.564E-13,3.6,0.00
34.700,1.545E-13,3.6,0.00
34.750,1.533E-13,3.6,0.00
34.800,1.422E-13,3.6,0.00
34.850,1.455E-13,3.6,0.00
34.900,1.390E-13,3.6,0.00
34.950,1.415E-13,3.6,0.00
35.000,1.400E-13,3.6,0.00
35.050,1.410E-13,3.6,0.00
35.100,1.471E-13,3.6,0.00
35.150,1.490E-13,3.6,0.00
35.200,1.560E-13,3.6,0.00
35.250,1.405E-13,3.6,0.00
35.300,1.416E-13,3.6,0.00
35.350,1.385E-13,3.6,0.00
35.400,1.375E-13,3.6,0.00
35.450,1.515E-13,3.6,0.00
35.500,1.421E-13,3.6,0.00
35.550,1.406E-13,3.6,0.00
35.600,1.427E-13,3.6,0.00
35.650,1.365E-13,3.6,0.00
35.700,1.373E-13,3.6,0.00
35.750,1.321E-13,3.6,0.00
35.800,1.304E-13,3.6,0.00
35.850,1.372E-13,3.6,0.00
35.900,1.339E-13,3.6,0.00
